,Model Name,Time Spent (s),Hamming Loss,Subset Accuracy,Jaccard Similarity,Precision,Recall,F1 Score,Micro Precision,Micro Recall,Micro F1 Score,Macro Precision,Macro Recall,Macro F1 Score,Weighted Precision,Weighted Recall,Weighted F1 Score
0,MultinomialNB,2.6346670000000003,0.0069,0.1994,0.2781,0.399,0.3047,0.3246,0.7606,0.295,0.4251,0.3596,0.0764,0.1096,0.612,0.295,0.3658
1,"LogisticRegression: l2, sgd",29.824895,0.0057,0.3007,0.4298,0.5765,0.4667,0.4892,0.8103,0.4552,0.5829,0.6616,0.3075,0.4004,0.7567,0.4552,0.5541
2,"LinearSVC: l2, sgd",26.132886000000003,0.0058,0.3062,0.4655,0.6087,0.5231,0.5325,0.7457,0.5105,0.6061,0.6254,0.3852,0.4627,0.7052,0.5105,0.5838
