,Model Name,Time Spent (s),Hamming Loss,Subset Accuracy,Jaccard Similarity,Precision,Recall,F1 Score,Micro Precision,Micro Recall,Micro F1 Score,Macro Precision,Macro Recall,Macro F1 Score,Weighted Precision,Weighted Recall,Weighted F1 Score
0,MultinomialNB,2.9384170000000003,0.0071,0.1848,0.2485,0.3599,0.2709,0.2903,0.7693,0.2598,0.3884,0.3058,0.0606,0.0884,0.5981,0.2598,0.332
1,"LogisticRegression: l2, sgd",32.681571000000005,0.0057,0.2972,0.4246,0.5685,0.462,0.4834,0.8057,0.4511,0.5784,0.6698,0.3008,0.3962,0.7547,0.4511,0.5508
2,"LinearSVC: l2, sgd",28.540519000000003,0.0059,0.3012,0.4626,0.6041,0.5229,0.53,0.7357,0.5101,0.6025,0.6185,0.3812,0.4587,0.6953,0.5101,0.5802
