,Model Name,Time Spent (s),Hamming Loss,Subset Accuracy,Jaccard Similarity,Precision,Recall,F1 Score,Micro Precision,Micro Recall,Micro F1 Score,Macro Precision,Macro Recall,Macro F1 Score,Weighted Precision,Weighted Recall,Weighted F1 Score
0,MultinomialNB,2.617033,0.0069,0.1994,0.2781,0.399,0.3047,0.3246,0.7606,0.295,0.4251,0.3596,0.0764,0.1096,0.612,0.295,0.3658
1,"LogisticRegression: l2, sgd",29.25287,0.0057,0.2987,0.4288,0.5735,0.4678,0.4884,0.8044,0.4572,0.583,0.6687,0.3102,0.4052,0.7531,0.4572,0.5554
2,"LinearSVC: l2, sgd",24.853544000000003,0.0058,0.3055,0.4648,0.608,0.5235,0.5322,0.7462,0.5112,0.6067,0.6269,0.3805,0.4577,0.7041,0.5112,0.5827
