,Model Name,Time Spent (s),Hamming Loss,Subset Accuracy,Jaccard Similarity,Precision,Recall,F1 Score,Micro Precision,Micro Recall,Micro F1 Score,Macro Precision,Macro Recall,Macro F1 Score,Weighted Precision,Weighted Recall,Weighted F1 Score
0,MultinomialNB,10.298625000000001,0.0071,0.2014,0.3003,0.4196,0.3444,0.3531,0.6891,0.3371,0.4527,0.3663,0.095,0.1287,0.5861,0.3371,0.3904
1,"LogisticRegression: l2, sgd",36.751152000000005,0.0057,0.3068,0.4356,0.579,0.4752,0.4949,0.7928,0.4616,0.5835,0.6603,0.3094,0.4018,0.7442,0.4616,0.5537
2,"LinearSVC: l2, sgd",33.811735,0.0059,0.314,0.4681,0.6082,0.5222,0.5329,0.7317,0.5081,0.5997,0.6109,0.3801,0.4538,0.6911,0.5081,0.5749
